level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm321_3,14,2,12,1,14.0,0.0,14.0,14.0
sm351_2,26,24,2,2,13.0,0.0,13.0,13.0
sm631_2,12,10,2,1,12.0,0.0,12.0,12.0
sm111_1,23,17,6,2,11.5,0.3516000890537751,11.0,12.0
sm631_3,10,1,9,1,10.0,0.0,10.0,10.0
sm112_1,17,14,3,2,8.5,3.8884020716318255,3.0,14.0
sm211_1,8,2,6,1,8.0,0.0,8.0,8.0
sm211_3,5,5,0,1,5.0,0.0,5.0,5.0
comprehension_check,0,0,0,2,0.0,0.0,0.0,0.0
experiment,0,0,0,2,0.0,0.0,0.0,0.0
s111_1,0,0,0,2,0.0,0.0,0.0,0.0
sm543_1,0,0,0,2,0.0,0.0,0.0,0.0
